gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,KO,cell_type,stimulation
IRF1,2107.70941842373,0.675958251610504,0.127486833344012,5.30218089099829,1.14427372218009e-07,8.16212605038082e-06,CBFB,Treg,Stimulated
PTEN,719.186799539751,-0.300774345122546,0.0719211772988338,-4.18199974498225,2.88956294116898e-05,0.0009179825797554,CBFB,Treg,Stimulated
RELA,717.414172204374,-0.281427546770428,0.08935516791851,-3.14953855861011,0.00163528527362259,0.0241728092939598,CBFB,Treg,Stimulated
RUNX1,618.962301449407,1.69507893565608,0.077927937726639,21.7518772484676,6.6310221544586e-105,5.01371585098615e-101,CBFB,Treg,Stimulated
RUNX3,1202.93011000954,0.279514182999746,0.0940437575275823,2.97217157574511,0.00295701384937867,0.0374781449377326,CBFB,Treg,Stimulated
SS18,345.519950951797,0.48328411199758,0.0835528253939228,5.78417437972998,7.28693228540198e-09,7.39550268589589e-07,CBFB,Treg,Stimulated
STAT3,1891.6089555355,0.385082006462087,0.103545906321963,3.71894959579304,0.00020005296286121,0.0045908078854632,CBFB,Treg,Stimulated
STAT6,322.273821430704,0.329779234268834,0.0801803465549275,4.11296843226936,3.90603815398263e-05,0.00118370959848748,CBFB,Treg,Stimulated
BCL11B,456.276768293761,-0.31994895301231,0.0758222454058061,-4.21972405723307,2.44601522255342e-05,0.00153352717088561,DNMT1,Teff,Resting
DNMT1,402.223372095786,-1.90373967224774,0.12502203118469,-15.2272335860183,2.33254369596275e-52,1.72561582627324e-48,DNMT1,Teff,Resting
ETS1,1161.38939650216,-0.237575853726819,0.0683919588193118,-3.47373957155523,0.00051325893734771,0.0181678929114757,DNMT1,Teff,Resting
FOXP3,69.9408194400798,2.00458515615231,0.281041762584509,7.13269493372729,9.8422539983557e-13,3.73399974768387e-10,DNMT1,Teff,Resting
GATA3,675.749521385699,0.317931524898984,0.081835329865351,3.8850154990772,0.00010232336037189,0.00496385718053314,DNMT1,Teff,Resting
IL2RB,183.770062648225,0.627127152039596,0.110291426267955,5.6860915962405,1.29979698862601e-08,2.43440458781145e-06,DNMT1,Teff,Resting
LEF1,974.647043912686,-0.541683421704176,0.0880380710257595,-6.15283155790274,7.61116311408315e-10,1.84614376124548e-07,DNMT1,Teff,Resting
RBPJ,312.060497884631,0.46191515655222,0.0945142385328875,4.88725470069243,1.0225177481426e-06,0.00011461494395089,DNMT1,Teff,Resting
SATB1,608.407968260607,-0.483061701606277,0.0837409993743408,-5.76852085854486,7.99703163292721e-09,1.53667636416612e-06,DNMT1,Teff,Resting
SMARCB1,228.853493838896,0.389377869462971,0.0983615996196423,3.95863701859942,7.53786932035041e-05,0.00383265685442971,DNMT1,Teff,Resting
STAT5B,253.948303258272,-0.331098230084925,0.0981720572342182,-3.37263208506462,0.00074453366006909,0.0241052954800489,DNMT1,Teff,Resting
DNMT1,2384.70142776082,-2.26483960701472,0.0580603839954453,-39.0083470201022,0,0,DNMT1,Teff,Stimulated
FOXP3,589.638667959955,1.32328384910565,0.271430518833874,4.87522130816672,1.08686538373635e-06,0.00016118401031393,DNMT1,Teff,Stimulated
IRF4,2306.91946479116,-0.387638588427311,0.0715886701109507,-5.41480359708504,6.13560157540011e-08,1.28720431587327e-05,DNMT1,Teff,Stimulated
RUNX3,1590.40472054007,0.27598856565827,0.0568712577688111,4.85286551565642,1.21690216028025e-06,0.00017740989714662,DNMT1,Teff,Stimulated
SOCS3,244.715991759889,0.420544951342649,0.120469807282885,3.4908742765325,0.00048144274942648,0.0262096823366574,DNMT1,Teff,Stimulated
DNMT1,201.393581408182,-1.55187375965539,0.182624219585315,-8.49763390189553,1.93494237861802e-17,5.38223572036388e-14,DNMT1,Treg,Resting
LEF1,674.114655079449,-0.357016727406383,0.0864978482914432,-4.12746368214226,3.6678633689659e-05,0.0127150180336544,DNMT1,Treg,Resting
DNMT1,1909.62686327636,-2.40629811597659,0.0760427109155985,-31.6440338199856,9.16090620149543e-220,1.5725611585487e-215,DNMT1,Treg,Stimulated
BCL11B,456.276768293761,0.276652608155319,0.082344003405103,3.35971772946582,0.0007802214458154,0.0196700044193102,IL2RA,Teff,Resting
DNMT1,402.223372095786,-0.404926263368506,0.118252619323169,-3.42424773071533,0.00061650393276164,0.0166100386499819,IL2RA,Teff,Resting
IL15RA,57.4540590463381,0.8324869244288,0.200996924238393,4.14178937107229,3.44606741464517e-05,0.00171551183428554,IL2RA,Teff,Resting
IL2RA,382.557161913033,-1.00476355595185,0.201063210698198,-4.99725212018043,5.81530174354312e-07,7.50403476301676e-05,IL2RA,Teff,Resting
YBX1,1660.30422661696,-0.352713247997351,0.0731011702211307,-4.82500139095442,1.40002290456911e-06,0.00014937797698358,IL2RA,Teff,Resting
ARID5A,2089.42202339904,0.340168817763149,0.0653427617660704,5.20591429821969,1.93043730191939e-07,3.61777038090214e-05,IL2RA,Teff,Stimulated
BATF,2790.38579210608,0.388478686300836,0.0485999454595203,7.99339757746038,1.31269941059388e-15,1.31950158026696e-12,IL2RA,Teff,Stimulated
IL15RA,287.516557900136,1.91234460580799,0.0901002395026626,21.2246339894743,5.65649149294893e-100,2.08479421458454e-96,IL2RA,Teff,Stimulated
IL2RA,11434.7058719491,-2.30162891123788,0.105334540575741,-21.8506569512484,7.66227791130171e-106,4.23609034326315e-102,IL2RA,Teff,Stimulated
IL4R,917.601293148619,0.283095178422167,0.0577179059839528,4.90480681161364,9.3519336793764e-07,0.00013429133856216,IL2RA,Teff,Stimulated
IRF2,703.172321118628,0.276103705138682,0.079944632140961,3.45368660464717,0.00055297958387566,0.0172233669265161,IL2RA,Teff,Stimulated
KLF3,96.7337319576573,0.681374079962696,0.211363751000575,3.22370357612002,0.00126544316078574,0.0312682095936539,IL2RA,Teff,Stimulated
LEF1,916.434381347484,0.292886166095136,0.0772386018573368,3.79196618079791,0.00014945927116274,0.00688571317186012,IL2RA,Teff,Stimulated
RUNX1,1322.00235339917,0.239897125864291,0.0750349992887611,3.19713637819976,0.00138799286345985,0.0331223989684219,IL2RA,Teff,Stimulated
SATB1,2500.63563942528,0.312636499373948,0.0955132284288704,3.2732272222038,0.00106326964359837,0.0278591764200644,IL2RA,Teff,Stimulated
TFDP1,1741.04222561437,-0.1695682888687,0.0529964332987167,-3.1996169989954,0.00137610321170508,0.0331223989684219,IL2RA,Teff,Stimulated
ZBTB32,1146.2955763363,-0.74899280609518,0.103169858663983,-7.25980257988522,3.87655693666217e-13,3.5719241707228e-10,IL2RA,Teff,Stimulated
