sg_target,context,lineage,state,median_activation_score,mean_activation_score,control_median_activation_score,control_mean_activation_score,median_delta_vs_control,mean_delta_vs_control,p_value,padj
MED24,Stimulated-Teff,Teff,Stimulated,656.570563149317,618.969993746609,615.298856776435,578.688840507669,41.2717063728824,40.28115323894,2.01178900200538e-09,5.63300920561506e-08
MED24,Stimulated-Treg,Treg,Stimulated,641.516459043285,602.334122571665,648.497795670027,611.592588006722,-6.98133662674229,-9.25846543505622,0.0733879348781476,2.05486217658813
MEF2D,Resting-Teff,Teff,Resting,-292.56975985534,-259.954712734473,-308.42607476262,-272.268229488136,15.85631490728,12.313516753663,0.0613239214682624,1.71706980111135
MEF2D,Resting-Treg,Treg,Resting,-248.620283836124,-198.085862359814,-260.128164278425,-212.807010627519,11.507880442301,14.721148267705,0.294904117012402,8.25731527634726
MEF2D,Stimulated-Teff,Teff,Stimulated,653.202013380391,621.68613256784,615.298856776435,578.688840507669,37.9031566039556,42.9972920601709,6.73009612397954e-10,1.88442691471427e-08
MEF2D,Stimulated-Treg,Treg,Stimulated,688.645534553329,649.952153120672,648.497795670027,611.592588006722,40.1477388833024,38.3595651139505,6.24717832687716e-05,0.0017492099315256
MYB,Resting-Teff,Teff,Resting,-218.609358432735,-186.376954740169,-308.42607476262,-272.268229488136,89.816716329885,85.891274747967,8.80057723561878e-45,2.46416162597326e-43
MYB,Resting-Treg,Treg,Resting,-187.558563842128,-131.61372879151,-260.128164278425,-212.807010627519,72.569600436297,81.193281836009,1.87591623152857e-23,5.25256544827999e-22
MYB,Stimulated-Teff,Teff,Stimulated,619.018905392052,586.734256031337,615.298856776435,578.688840507669,3.72004861561732,8.04541552366754,0.314747627917452,8.81293358168866
MYB,Stimulated-Treg,Treg,Stimulated,648.289384234491,602.198136507138,648.497795670027,611.592588006722,-0.208411435535936,-9.39445149958328,0.49988457822353,13.9967681902588
MYC,Resting-Teff,Teff,Resting,-267.508478284796,-241.046056767952,-308.42607476262,-272.268229488136,40.917596477824,31.222172720184,7.50206975448684e-07,2.10057953125632e-05
MYC,Resting-Treg,Treg,Resting,-203.73993086878,-148.276474448259,-260.128164278425,-212.807010627519,56.388233409645,64.53053617926,2.86563808286033e-15,8.02378663200892e-14
MYC,Stimulated-Teff,Teff,Stimulated,538.679092147996,500.72128242735,615.298856776435,578.688840507669,-76.6197646284395,-77.9675580803192,5.17077492885385e-23,1.44781698007908e-21
MYC,Stimulated-Treg,Treg,Stimulated,444.250092186064,439.855982231673,648.497795670027,611.592588006722,-204.247703483963,-171.736605775049,3.21242197902517e-51,8.99478154127048e-50
NFKB2,Resting-Teff,Teff,Resting,-233.06380828494,-200.751065006736,-308.42607476262,-272.268229488136,75.36226647768,71.5171644814,1.99577689200114e-38,5.58817529760318e-37
NFKB2,Resting-Treg,Treg,Resting,-219.456802966118,-170.063722228904,-260.128164278425,-212.807010627519,40.671361312307,42.743288398615,7.01812383807333e-11,1.96507467466053e-09
