gene,k562_de,k562_ad,is_control
RBM4,392,547,False
SUPV3L1,392,520,False
HARS2,391,414,False
UQCRQ,391,475,False
MCM4,389,467,False
MRPS22,389,527,False
PNO1,389,611,False
AARS2,387,382,False
POLL,387,583,False
TAMM41,386,465,False
EEF2,385,656,False
C7orf26,384,479,False
RPL3,383,492,False
ARMC7,382,460,False
UQCRB,380,432,False
BRIX1,379,825,False
BTAF1,378,501,False
USP39,378,579,False
AAR2,377,652,False
CCNQ,376,562,False
NOC4L,375,469,False
POLR2I,375,913,False
MCM3AP,373,422,False
EXOSC5,372,608,False
GSK3B,372,521,False
ZMAT5,371,686,False
DKC1,370,742,False
FKBP9,370,410,False
ADSL,369,405,False
CYCS,369,402,False
LSM2,369,567,False
TSR1,369,600,False
EEFSEC,368,688,False
MAU2,368,513,False
SIN3A,368,431,False
TRMT10C,368,414,False
DRAP1,367,389,False
ZBTB4,366,557,False
MRPS27,365,386,False
NAA15,365,1061,False
RBM33,365,483,False
TAF7,363,862,False
TBRG4,363,471,False
INTS1,361,450,False
HSPA8,360,488,False
RBMX2,360,602,False
TRMT5,358,410,False
UTP11,358,598,False
NOL12,357,408,False
WDR75,357,537,False
XRCC5,357,425,False
EIF2S3,355,541,False
MRPL50,355,382,False
TAF1A,355,460,False
IPO9,354,387,False
TBCB,354,466,False
ISCA2,353,388,False
KIF20A,351,396,False
ATP5ME,351,387,False
HUWE1,350,374,False
DNAJC8,349,408,False
REXO2,349,439,False
TWSG1,349,549,False
FAM102B,346,508,False
KRI1,346,594,False
HERC1,345,394,False
TPP2,345,483,False
MRPS14,343,373,False
MRPS33,343,358,False
RNF31,343,639,False
RPP40,342,469,False
SDHC,342,425,False
ERCC3,341,439,False
DIMT1,340,537,False
METTL21A,340,419,False
CHORDC1,339,389,False
NUDC,339,577,False
PCF11,338,483,False
COX7C,337,354,False
MRPL42,337,352,False
ATP5PO,337,450,False
TAF5,337,614,False
PABPC4,336,438,False
COG2,335,548,False
RPUSD4,335,417,False
CYREN,334,482,False
SPOUT1,334,458,False
MRPL9,334,336,False
POLR1D,334,600,False
SUPT4H1,334,551,False
AGBL5,333,406,False
RBBP6,333,705,False
CASC3,331,361,False
GRSF1,331,440,False
MRPL13,330,342,False
FASTKD5,329,349,False
UFM1,329,339,False
COX11,328,357,False
PHF10,328,345,False
MTBP,327,376,False
GTF3C6,325,376,False
PAXBP1,325,398,False
SNRPD1,325,606,False
ZNF207,324,539,False
PRMT5,324,378,False
CCT7,323,496,False
PGK1,323,374,False
IARS,322,450,False
SP1,320,409,False
EBNA1BP2,318,384,False
RPL32,318,492,False
INTS10,317,431,False
TCOF1,317,534,False
HNRNPM,315,364,False
CPEB1,314,522,False
HNRNPA1,314,339,False
STX18,314,419,False
CBFA2T3,313,332,False
BTF3,312,378,False
NARS2,311,330,False
PPP2CB,311,353,False
SBNO1,311,327,False
STXBP4,311,340,False
MRPS26,310,363,False
NDUFA3,310,353,False
ELOB,310,337,False
MRPS24,309,328,False
PSMG4,309,569,False
NDUFB10,308,319,False
KAT7,307,344,False
SUDS3,307,422,False
MRPL23,304,331,False
MON1A,303,393,False
SERINC3,303,778,False
UTP15,300,511,False
PELO,299,379,False
PRDM4,299,363,False
PRRC2A,299,323,False
CNOT11,297,301,False
NRBP1,296,492,False
NRF1,296,371,False
SSU72,296,334,False
UBE3C,296,293,False
CCT5,295,365,False
IPO13,295,379,False
SPCS2,294,337,False
USP5,294,436,False
METTL16,293,491,False
CMC4,292,410,False
KEAP1,292,318,False
PTEN,292,353,False
INTS14,292,410,False
SLC35A4,291,794,False
MBNL1,290,420,False
PELP1,290,442,False
SRFBP1,290,458,False
CLPB,289,464,False
DPY19L4,289,347,False
ALG2,288,329,False
FASN,288,425,False
HNRNPH1,288,355,False
RCCD1,288,444,False
ESYT2,287,395,False
ATP11B,287,309,False
SAP18,287,369,False
TOE1,287,355,False
WDR46,287,418,False
GMPS,286,347,False
ZNF236,284,413,False
SUGT1,284,314,False
TAF13,284,424,False
HMX3,283,432,False
ORC5,283,328,False
SNAPC3,283,338,False
ZNF143,282,311,False
EIF2S2,282,393,False
INF2,282,329,False
SMARCB1,282,288,False
CCT2,281,446,False
EIF3J,281,281,False
GNL3L,281,331,False
ENO1,280,308,False
LSM10,280,287,False
MRPS17,280,295,False
PMF1,280,541,False
MRPL22,279,293,False
UTP18,279,452,False
MPHOSPH10,278,454,False
RPL11,277,442,False
POLG2,276,331,False
RAB4B,276,310,False
SAMD4B,276,297,False
TBP,275,373,False
TRAPPC11,275,394,False
DARS,274,306,False
HIRA,274,350,False
MRPL20,274,302,False
TADA1,274,311,False
NOC3L,272,424,False
SNRNP27,272,527,False
ITGB1BP1,271,303,False
ATP8B2,270,690,False
ZFR,269,272,False
EIF5A,269,377,False
PPP4R2,269,313,False
COX7B,267,265,False
CSNK1A1,267,445,False
DIS3,267,441,False
HGS,267,470,False
NAA30,267,326,False
NCBP1,266,428,False
NUBP1,266,317,False
RPSA,266,464,False
PWP2,265,422,False
ANKRD39,264,370,False
POU3F1,263,313,False
COX6C,262,290,False
EXOSC7,262,352,False
SMARCC1,261,303,False
NKAPD1,261,313,False
CCDC174,260,285,False
CPNE1,260,307,False
FNBP4,260,283,False
GABPB1,260,275,False
GTF2H3,260,350,False
CMTR2,259,302,False
SETD5,259,289,False
CEBPZ,258,342,False
ZW10,257,299,False
MRPL44,257,276,False
WDHD1,256,310,False
COA5,255,259,False
DAP3,255,276,False
INTS4,255,333,False
RNGTT,255,380,False
VMP1,253,301,False
WBP11,253,376,False
GSPT1,252,426,False
ARPC4,252,304,False
POLR2A,252,375,False
TMEM214,252,372,False
MRPS30,251,264,False
PRELID1,251,292,False
TOMM20,251,306,False
ABCE1,250,470,False
USP14,250,314,False
CENPP,249,305,False
SARS2,249,331,False
SERF2,249,423,False
RBM12,248,272,False
NUB1,247,323,False
RPS23,247,354,False
SDR39U1,247,364,False
OGT,246,379,False
RPLP1,246,264,False
MCM5,245,253,False
RAC3,245,373,False
PPP1R8,244,274,False
TAF6L,244,350,False
TUFM,244,278,False
PIP4K2C,243,267,False
RPS21,243,325,False
SSBP1,242,359,False
CABIN1,241,306,False
ERAL1,241,282,False
AP2S1,241,312,False
HSPD1,240,314,False
MMS22L,240,284,False
MRPS2,240,281,False
NDUFB8,240,249,False
ATP5F1C,240,296,False
RPL23A,240,358,False
UBAP1,240,616,False
RPL27,239,346,False
LSM3,238,314,False
ATP6AP1,238,289,False
POLR2F,237,457,False
STAG2,235,272,False
CNOT2,234,263,False
SHOC2,234,286,False
TFAM,234,257,False
MRPL53,232,246,False
MRPS6,232,243,False
SPINDOC,232,530,False
POLR3E,231,273,False
UNCX,231,263,False
DDX17,230,346,False
RPF1,230,311,False
ADNP2,229,251,False
DDX5,229,236,False
FGFR1OP,228,290,False
MRPL14,228,238,False
RNPS1,227,264,False
TFPT,227,322,False
E4F1,225,258,False
EMG1,225,471,False
GET3,225,329,False
PIAS1,225,249,False
HJURP,224,334,False
ARHGAP6,224,271,False
NHP2,224,392,False
UQCRC2,224,274,False
COPS3,223,274,False
ELP4,223,244,False
PET117,223,250,False
SUMO2,223,235,False
UCHL5,223,261,False
HEXIM1,222,261,False
POP7,222,274,False
RBBP5,222,292,False
EARS2,221,276,False
BAG6,220,244,False
TBX1,220,271,False
MRGBP,219,230,False
AAMP,219,276,False
PCM1,218,317,False
CENPJ,217,307,False
RPS26,217,406,False
SDC1,217,240,False
